"Var1","Freq","Survey","Country"
"1",0.0632107351007688,"AF2015DHS","Afghanistan"
"2",0.210233558427561,"AF2015DHS","Afghanistan"
"3",0.216015190584868,"AF2015DHS","Afghanistan"
"4",0.147405752696167,"AF2015DHS","Afghanistan"
"5",0.152580324624667,"AF2015DHS","Afghanistan"
"6",0.103822514059246,"AF2015DHS","Afghanistan"
"7",0.106731924506722,"AF2015DHS","Afghanistan"
"1",0.0152078999542948,"AL2017DHS","Albania"
"2",0.0846661199659038,"AL2017DHS","Albania"
"3",0.14494436281519,"AL2017DHS","Albania"
"4",0.167257696589759,"AL2017DHS","Albania"
"5",0.166947758334609,"AL2017DHS","Albania"
"6",0.198280399042026,"AL2017DHS","Albania"
"7",0.222695763298217,"AL2017DHS","Albania"
"1",0.0219081689858532,"AL2008DHS","Albania"
"2",0.0715129232172288,"AL2008DHS","Albania"
"3",0.119725503620645,"AL2008DHS","Albania"
"4",0.153104671592665,"AL2008DHS","Albania"
"5",0.204302139721528,"AL2008DHS","Albania"
"6",0.230972890479153,"AL2008DHS","Albania"
"7",0.198473702382926,"AL2008DHS","Albania"
"1",0.0785672304596112,"AO2015DHS","Angola"
"2",0.198755392916212,"AO2015DHS","Angola"
"3",0.215984223440526,"AO2015DHS","Angola"
"4",0.168753314290771,"AO2015DHS","Angola"
"5",0.145587731909109,"AO2015DHS","Angola"
"6",0.1172741056177,"AO2015DHS","Angola"
"7",0.0750780013660702,"AO2015DHS","Angola"
"1",0.00856325129173106,"AM2016DHS","Armenia"
"2",0.0937350793957221,"AM2016DHS","Armenia"
"3",0.195330684313229,"AM2016DHS","Armenia"
"4",0.211950709600483,"AM2016DHS","Armenia"
"5",0.182057677594044,"AM2016DHS","Armenia"
"6",0.164022453151885,"AM2016DHS","Armenia"
"7",0.144340144652907,"AM2016DHS","Armenia"
"1",0.0187325164441518,"AM2010DHS","Armenia"
"2",0.124114433762429,"AM2010DHS","Armenia"
"3",0.176846250338508,"AM2010DHS","Armenia"
"4",0.179166296334103,"AM2010DHS","Armenia"
"5",0.142467690293995,"AM2010DHS","Armenia"
"6",0.169101886427313,"AM2010DHS","Armenia"
"7",0.1895709263995,"AM2010DHS","Armenia"
"1",0.0192816744580389,"AM2005DHS","Armenia"
"2",0.124687400677366,"AM2005DHS","Armenia"
"3",0.171751244874507,"AM2005DHS","Armenia"
"4",0.148597681674729,"AM2005DHS","Armenia"
"5",0.148744519720875,"AM2005DHS","Armenia"
"6",0.203648851067781,"AM2005DHS","Armenia"
"7",0.183288627526704,"AM2005DHS","Armenia"
"1",0.0239290906004187,"AM2000DHS","Armenia"
"2",0.123902023048,"AM2000DHS","Armenia"
"3",0.151573645510582,"AM2000DHS","Armenia"
"4",0.160107056711898,"AM2000DHS","Armenia"
"5",0.197792961489938,"AM2000DHS","Armenia"
"6",0.187476329329496,"AM2000DHS","Armenia"
"7",0.155218893309666,"AM2000DHS","Armenia"
"1",0.0286981371456155,"AZ2006DHS","Azerbaijan"
