"CountryYear","Country","FullYear","StartYear","Name","API_ID","Alpha2","Alpha3","ISONum","WorldBankID","EverMarried","Survey","BR","Couples","PR","Strata","mean","se","l_ci","u_ci"
"Afghanistan 2015","Afghanistan","2015",2015,"Afghanistan","AF2015DHS","AF","AFG",4,"AF",1,"AFIR70FL","AFBR70FL","AFCR71FL","AFPR71FL","v022",0.325,0.00587421715978501,0.313509161504172,0.336566886202297
"Albania 2017-18","Albania","2017-18",2017,"Albania","AL2017DHS","AL","ALB",8,"AL",NA,"ALIR71FL","ALBR71FL","","ALPR71FL","v022",0.326,0.00798661790693882,0.309972214627169,0.341334434172766
"Albania 2008-09","Albania","2008-09",2008,"Albania","AL2008DHS","AL","ALB",8,"AL",NA,"ALIR50FL","ALBR50FL","ALCR51FL","ALPR51FL","v023",0.336,0.00908082316943978,0.317939017197273,0.3536347353392
"Angola 2015-16","Angola","2015-16",2015,"Angola","AO2015DHS","AO","AGO",24,"AO",NA,"AOIR71FL","AOBR71FL","AOCR71FL","AOPR71FL","v022",0.028,0.00307571551181151,0.0224328007986442,0.0345142098409725
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",0.48,0.00963488302089152,0.460738329178858,0.498663568233759
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",0.447,0.0121563206113618,0.423186047484931,0.47103974669153
"Armenia 2005","Armenia","2005",2005,"Armenia","AM2005DHS","AM","ARM",51,"AM",NA,"AMIR54FL","","AMCR52FL","AMPR54FL","v023",0.399,0.0124401828945222,0.374504462987039,0.423475594083494
"Armenia 2000","Armenia","2000",2000,"Armenia","AM2000DHS","AM","ARM",51,"AM",NA,"AMIR42FL","","AMCR42FL","AMPR42FL","v023",0.412,0.0109806795618044,0.390393274668789,0.43365582141388
"Azerbaijan 2006","Azerbaijan","2006",2006,"Azerbaijan","AZ2006DHS","AZ","AZE",31,"AZ",NA,"AZIR52FL","AZBR52FL","AZCR52FL","AZPR52FL","v023",0.308,0.00905516065990769,0.289706753776558,0.325345630075866
"Bangladesh 2017-18","Bangladesh","2017-18",2017,"Bangladesh","BD2017DHS","BD","BGD",50,"BD",1,"BDIR7RFL","BDBR7RFL","","BDPR7RFL","v022",0.232,0.003903742166549,0.224368088811162,0.239699023714237
