"CountryYear","Country","FullYear","StartYear","Name","API_ID","Alpha2","Alpha3","ISONum","WorldBankID","EverMarried","Survey","BR","Couples","PR","Strata","v013","Live_MIL","ci_l","ci_u"
"Afghanistan 2015","Afghanistan","2015",2015,"Afghanistan","AF2015DHS","AF","AFG",4,"AF",1,"AFIR70FL","AFBR70FL","AFCR71FL","AFPR71FL","v022",1,0.600916654637685,0.562772588661341,0.637874279908005
"Afghanistan 2015","Afghanistan","2015",2015,"Afghanistan","AF2015DHS","AF","AFG",4,"AF",1,"AFIR70FL","AFBR70FL","AFCR71FL","AFPR71FL","v022",2,0.550582247810557,0.526595009794987,0.574336527730601
"Afghanistan 2015","Afghanistan","2015",2015,"Afghanistan","AF2015DHS","AF","AFG",4,"AF",1,"AFIR70FL","AFBR70FL","AFCR71FL","AFPR71FL","v022",3,0.415002008141835,0.380636254085623,0.450215115079788
"Afghanistan 2015","Afghanistan","2015",2015,"Afghanistan","AF2015DHS","AF","AFG",4,"AF",1,"AFIR70FL","AFBR70FL","AFCR71FL","AFPR71FL","v022",4,0.288919719279025,0.258786882963114,0.321041494243961
"Afghanistan 2015","Afghanistan","2015",2015,"Afghanistan","AF2015DHS","AF","AFG",4,"AF",1,"AFIR70FL","AFBR70FL","AFCR71FL","AFPR71FL","v022",5,0.165041020643301,0.145506489253811,0.186625324334518
"Afghanistan 2015","Afghanistan","2015",2015,"Afghanistan","AF2015DHS","AF","AFG",4,"AF",1,"AFIR70FL","AFBR70FL","AFCR71FL","AFPR71FL","v022",6,0.092081658468576,0.0777980522513838,0.108678665927627
"Afghanistan 2015","Afghanistan","2015",2015,"Afghanistan","AF2015DHS","AF","AFG",4,"AF",1,"AFIR70FL","AFBR70FL","AFCR71FL","AFPR71FL","v022",7,0.0405262713363841,0.0291934441963499,0.0560046807565379
"Albania 2017-18","Albania","2017-18",2017,"Albania","AL2017DHS","AL","ALB",8,"AL",NA,"ALIR71FL","ALBR71FL","","ALPR71FL","v022",1,0.624446253225622,0.50710380471806,0.728793559258568
"Albania 2017-18","Albania","2017-18",2017,"Albania","AL2017DHS","AL","ALB",8,"AL",NA,"ALIR71FL","ALBR71FL","","ALPR71FL","v022",2,0.634343704787213,0.578810556066465,0.686520415553243
"Albania 2017-18","Albania","2017-18",2017,"Albania","AL2017DHS","AL","ALB",8,"AL",NA,"ALIR71FL","ALBR71FL","","ALPR71FL","v022",3,0.542662211541481,0.502841933635897,0.581944702815612
"Albania 2017-18","Albania","2017-18",2017,"Albania","AL2017DHS","AL","ALB",8,"AL",NA,"ALIR71FL","ALBR71FL","","ALPR71FL","v022",4,0.373444248385619,0.333511932720645,0.415179385546456
"Albania 2017-18","Albania","2017-18",2017,"Albania","AL2017DHS","AL","ALB",8,"AL",NA,"ALIR71FL","ALBR71FL","","ALPR71FL","v022",5,0.30335771118793,0.268638312651026,0.340475361130351
"Albania 2017-18","Albania","2017-18",2017,"Albania","AL2017DHS","AL","ALB",8,"AL",NA,"ALIR71FL","ALBR71FL","","ALPR71FL","v022",6,0.207924604084401,0.181127266635917,0.237536501060428
"Albania 2017-18","Albania","2017-18",2017,"Albania","AL2017DHS","AL","ALB",8,"AL",NA,"ALIR71FL","ALBR71FL","","ALPR71FL","v022",7,0.132287525865935,0.113623181829375,0.153486875299797
"Albania 2008-09","Albania","2008-09",2008,"Albania","AL2008DHS","AL","ALB",8,"AL",NA,"ALIR50FL","ALBR50FL","ALCR51FL","ALPR51FL","v023",1,0.629888066955266,0.502018331829522,0.741810484963665
"Albania 2008-09","Albania","2008-09",2008,"Albania","AL2008DHS","AL","ALB",8,"AL",NA,"ALIR50FL","ALBR50FL","ALCR51FL","ALPR51FL","v023",2,0.768436261866582,0.714507481111558,0.814818245194052
"Albania 2008-09","Albania","2008-09",2008,"Albania","AL2008DHS","AL","ALB",8,"AL",NA,"ALIR50FL","ALBR50FL","ALCR51FL","ALPR51FL","v023",3,0.589970701607585,0.542839801427779,0.635505236031298
"Albania 2008-09","Albania","2008-09",2008,"Albania","AL2008DHS","AL","ALB",8,"AL",NA,"ALIR50FL","ALBR50FL","ALCR51FL","ALPR51FL","v023",4,0.415247786298239,0.372069596141857,0.45976788334476
"Albania 2008-09","Albania","2008-09",2008,"Albania","AL2008DHS","AL","ALB",8,"AL",NA,"ALIR50FL","ALBR50FL","ALCR51FL","ALPR51FL","v023",5,0.285094760515819,0.253052628038416,0.319458915153
"Albania 2008-09","Albania","2008-09",2008,"Albania","AL2008DHS","AL","ALB",8,"AL",NA,"ALIR50FL","ALBR50FL","ALCR51FL","ALPR51FL","v023",6,0.21467885924514,0.184867076728373,0.247836426392515
"Albania 2008-09","Albania","2008-09",2008,"Albania","AL2008DHS","AL","ALB",8,"AL",NA,"ALIR50FL","ALBR50FL","ALCR51FL","ALPR51FL","v023",7,0.125864269005958,0.102650249509444,0.15343044758666
"Angola 2015-16","Angola","2015-16",2015,"Angola","AO2015DHS","AO","AGO",24,"AO",NA,"AOIR71FL","AOBR71FL","AOCR71FL","AOPR71FL","v022",1,0.103256259408128,0.0729437854342484,0.144205928215413
"Angola 2015-16","Angola","2015-16",2015,"Angola","AO2015DHS","AO","AGO",24,"AO",NA,"AOIR71FL","AOBR71FL","AOCR71FL","AOPR71FL","v022",2,0.0450352856113509,0.0297101954426412,0.0677136868426396
"Angola 2015-16","Angola","2015-16",2015,"Angola","AO2015DHS","AO","AGO",24,"AO",NA,"AOIR71FL","AOBR71FL","AOCR71FL","AOPR71FL","v022",3,0.025551707104117,0.0140594534827398,0.0459995022421563
"Angola 2015-16","Angola","2015-16",2015,"Angola","AO2015DHS","AO","AGO",24,"AO",NA,"AOIR71FL","AOBR71FL","AOCR71FL","AOPR71FL","v022",4,0.0136540742161382,0.00646887284751611,0.028590465939638
"Angola 2015-16","Angola","2015-16",2015,"Angola","AO2015DHS","AO","AGO",24,"AO",NA,"AOIR71FL","AOBR71FL","AOCR71FL","AOPR71FL","v022",5,0.00743304754701896,0.00332304183789753,0.0165420228162613
"Angola 2015-16","Angola","2015-16",2015,"Angola","AO2015DHS","AO","AGO",24,"AO",NA,"AOIR71FL","AOBR71FL","AOCR71FL","AOPR71FL","v022",6,0.0179961252402665,0.00831338633218799,0.0385184714107862
"Angola 2015-16","Angola","2015-16",2015,"Angola","AO2015DHS","AO","AGO",24,"AO",NA,"AOIR71FL","AOBR71FL","AOCR71FL","AOPR71FL","v022",7,0.00523365706092142,0.0010609211212597,0.0254009665047745
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",1,0.836430187460307,0.67319984660418,0.926974200776074
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",2,0.654946150940501,0.594401855022372,0.710849275210191
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",3,0.6617627442831,0.619222288225281,0.701839010620074
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",4,0.561467890619432,0.520033934813854,0.602062053955362
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",5,0.414205406561898,0.377633871556252,0.451747887282489
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",6,0.334778257614281,0.290047213132388,0.382689232071223
"Armenia 2015-16","Armenia","2015-16",2015,"Armenia","AM2016DHS","AM","ARM",51,"AM",NA,"AMIR71FL","AMBR71FL","AMCR72FL","AMPR72FL","v022",7,0.225581347935231,0.188261919438683,0.267857504743626
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",1,0.755236867722455,0.603230949045133,0.86230111763971
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",2,0.760176333241838,0.706602664346196,0.806644449548194
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",3,0.662102859145508,0.612815227365064,0.708104813497686
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",4,0.48521767725237,0.434541546966439,0.536199603765411
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",5,0.421097004786005,0.36585759401323,0.47838497225412
"Armenia 2010","Armenia","2010",2010,"Armenia","AM2010DHS","AM","ARM",51,"AM",NA,"AMIR61FL","","AMCR61FL","AMPR61FL","v022",6,0.274021617145107,0.238230375531568,0.312980783040048
